"bankmsb","banklsb","prog","gname","tname"
0,0,74,"Breathy/Airy","Egyptian Princes"
0,0,75,"Organ","Mixture Pipe 2"
0,0,76,"Pad & Lead","Spectagon & Pad"
0,0,77,"Complex","Inverse Nebula"
0,0,78,"Synth","Romance Player"
0,0,79,"Bell & Mallet","Bell Landy"
0,0,80,"Orchestral","Moody Orchestra"
0,0,81,"Bass Splits","Jazz Hits"
0,0,82,"Motion Synth","Cosmic Approach"
0,0,83,"Keyboard","Algorithm Grand"
0,0,84,"Guitar","GuitarraEspanola"
0,0,85,"Complex","Trance Sylvania"
0,0,86,"Horn Section","Brass Orchestra"
0,0,87,"Ethnic/Trad.","Master Fisa"
0,0,88,"Strings","Doubled Strings"
0,0,89,"Bass Splits","Tetra Split"
0,0,90,"Breathy/Airy","{Holding Angels}"
0,0,91,"Organ","Medium BX3"
0,0,92,"Pad & Lead","Choirpad&Stevie"
0,0,93,"Complex","The Sun Surfer"
0,0,94,"Synth","String Sunrise"
0,0,95,"Bell & Mallet","Halo of Bells"
0,0,96,"Orchestral","Scoring Barocco1"
0,0,97,"Bass Splits","DynaBass & Brass"
0,0,98,"Motion Synth","Watch Me Grow..."
0,0,99,"Keyboard","Damper/BodyPiano"
0,0,100,"Bass","Hydra Snap"
0,0,101,"Complex","ScareOnDynamics"
0,0,102,"Synth","Bloodrush Lead"
0,0,103,"Ethnic/Trad.","Matsuri Festival"
0,0,104,"Strings","Strings & Basses"
0,0,105,"Bass Splits","POP U Wit' This"
0,0,106,"Breathy/Airy","X-Choir Fader"
0,0,107,"Organ","Positive Tuent."
0,0,108,"Pad & Lead","Pad/Gtr(SW1/wah)"
0,0,109,"Complex","Bell Shifting"
0,0,110,"Synth","BIG BONED (fat)"
0,0,111,"Bell & Mallet","Merry Poppin'"
0,0,112,"Orchestral","Florence 1300's"
0,0,113,"Bass Splits","Bass & Harp Age"
0,0,114,"Breathy/Airy","Time To Sing"
0,0,115,"Keyboard","Piano & Organ"
0,0,116,"Guitar","Spanish Nights"
0,0,117,"Motion Synth","Delayed Reaction"
0,0,118,"Synth","Whack Dragon"
0,0,119,"Bass","NewAged Bass"
0,0,120,"Orchestral","Piano & Vel.Orch"
0,0,121,"Synth","SuperHero #5"
0,0,122,"Breathy/Airy","Beach Vocals"
0,0,123,"Organ","BigStraightOrgan"
0,0,124,"Pad & Lead","Astral Prelude"
0,0,125,"Motion Synth","Winds of Victory"
0,0,126,"Synth","BriteModernHarp"
0,0,127,"Bell & Mallet","Massive Bell Pad"
0,1,0,"Orchestral","DynamicOrchestra"
0,1,1,"Bass Splits","{Hip 90's Split}"
0,1,2,"Motion Synth","The Rush..."
0,1,3,"Keyboard","E. Grand & Voice"
0,1,4,"Guitar","StereoGuitarPad"
0,1,5,"Complex","Meganomic"
0,1,6,"Horn Section","Saxophonia"
0,1,7,"Ethnic/Trad.","Koto Velox"
0,1,8,"Strings","Violin Section"
0,1,9,"Bass Splits","Happenin'Church!"
0,1,10,"Keyboard","*Tim's*Bedtime*"
0,1,11,"Organ","Big Rock Organ"
0,1,12,"Pad & Lead","Whistlers Dream"
0,1,13,"Complex","Time4daBreakdown"
0,1,14,"Synth","MonsterGodSynth"
0,1,15,"Bell & Mallet","Trinity Bells"
0,1,16,"Orchestral","Orchestra & Oboe"
0,1,17,"Bass Splits","Moonlight Split"
0,1,18,"Motion Synth","Mystery Islands"
0,1,19,"Keyboard","MIDI Grand Stack"
0,1,20,"Bass","Dyna Pick Bass"
0,1,21,"Organ","Cathedral Voices"
0,1,22,"Horn Section","SizzleSynthBrass"
0,1,23,"Ethnic/Trad.","MIDI Akkordeon"
0,1,24,"Strings","Legato Strings"
0,1,25,"Bass Splits","Policemen"
0,1,26,"Breathy/Airy","Sparkling Voices"
0,1,27,"Organ","Jazzy Organ 2"
0,1,28,"Pad & Lead","Nashville Duet"
0,1,29,"Drums/Special FX","[Unhappy=Planet]"
0,1,30,"Synth","X-Fader Synth"
0,1,31,"Bell & Mallet","The Mallet Men"
0,1,32,"Orchestral","BOLD Orchestra"
0,1,33,"Bass Splits","Bass Piano Vibe"
0,1,34,"Motion Synth","=Dream Theatre="
0,1,35,"Keyboard","SuperNightTines"
0,1,36,"Guitar","Distraught"
0,1,37,"Breathy/Airy","Luna Breath"
0,1,38,"Horn Section","Dizzy Big Band"
0,1,39,"Ethnic/Trad.","Evening in Bali"
0,1,40,"Strings","Green House Pad"
0,1,41,"Bass Splits","TheName'sJazzmin"
0,1,42,"Breathy/Airy","Bottlized Air"
0,1,43,"Organ","Tutti Pipe 2"
0,1,44,"Pad & Lead","SynthPad & Solo"
0,1,45,"Complex","Rockestra  (SW1)"
0,1,46,"Synth","Song for Darth"
0,1,47,"Keyboard","Pianobell"
0,1,48,"Orchestral","Harp & Strings"
0,1,49,"Bass Splits","Groove Section"
0,1,50,"Motion Synth","Disquieting Solo"
0,1,51,"Keyboard","Piezo Clav"
0,1,52,"Bass","MondoSplatBass!"
0,1,53,"Complex","Dream Sequence"
0,1,54,"Horn Section","Orchestral Brass"
0,1,55,"Ethnic/Trad.","Bonny Loch"
0,1,56,"Strings","Arco Strings"
0,1,57,"Synth","MondoSynthSplit"
0,1,58,"Breathy/Airy","Heavenly Voices"
0,1,59,"Organ","Standard BX3"
0,1,60,"Pad & Lead","They split up..."
0,1,61,"Complex","African Rain"
0,1,62,"Synth","Big Bottomed Bed"
0,1,63,"Bell & Mallet","Jungle Mouth"
0,1,64,"Orchestral","Woodwind Ens. 2"
0,1,65,"Bass Splits","Flugel Trio SW1"
0,1,66,"Motion Synth","Virtual Vortex"
0,1,67,"Keyboard","Liquid Piano"
0,1,68,"Guitar","Nice Acoustics"
0,1,69,"Complex","Ghost Town"
0,1,70,"Horn Section","Loud Mutes"
0,1,71,"Ethnic/Trad.","Indian Nights"
0,1,72,"Orchestral","Orchestral World"
0,1,73,"Bass Splits","Culture^Shock"
0,1,74,"Breathy/Airy","Rising Tides"
0,1,75,"Organ","Mixture Pipe 1"
0,1,76,"Pad & Lead","Xanosphere"
0,1,77,"Motion Synth","Cyber>Sequence"
0,1,78,"Synth","Ballader"
0,1,79,"Motion Synth","Magical Organ"
0,1,80,"Orchestral","Final Movement"
0,1,81,"Bass Splits","Power Funk"
0,1,82,"Motion Synth","Ghostly Spectrum"
0,1,83,"Keyboard","Ballad E.Piano"
0,1,84,"Guitar","Mr. Martin"
0,1,85,"Complex","Tradewinds"
0,1,86,"Horn Section","Trpt & Trombones"
0,1,87,"Ethnic/Trad.","Accordion"
0,1,88,"Strings","3 Octave Strings"
0,1,89,"Synth","Sus4 Split"
0,1,90,"Breathy/Airy","Choir of the Sun"
0,1,91,"Organ","Jazzy Organ 3"
0,1,92,"Pad & Lead","Dream Of Lambada"
0,1,93,"Complex","Martian Sunset"
0,1,94,"Synth","Swirling Pad"
0,1,95,"Bell & Mallet","Spectrum Bells"
0,1,96,"Orchestral","Scoring Barocco2"
0,1,97,"Bass Splits","Salsa Split"
0,1,98,"Motion Synth","Solar Mystery"
0,1,99,"Keyboard","Stereo Roads"
0,1,100,"Bass","Analog-Log Bass"
0,1,101,"Complex","Sombreros"
0,1,102,"Synth","Big & Nasty Lead"
0,1,103,"Ethnic/Trad.","Asia Ensemble"
0,1,104,"Orchestral","DynamicPizzicato"
0,1,105,"Bass Splits","Band Of Fusion"
0,1,106,"Breathy/Airy","Ambient Choir"
0,1,107,"Organ","Pos/Tuent.Split"
0,1,108,"Pad & Lead","Rainy Night Lead"
0,1,109,"Complex","Alien Nation"
0,1,110,"Synth","Resonant Sweep"
0,1,111,"Breathy/Airy","Pan'n'Drum Jam"
0,1,112,"Orchestral","Harpsi & Strings"
0,1,113,"Bass Splits","Bass & Vibe"
0,1,114,"Organ","Jazz Split Organ"
0,1,115,"Keyboard","ReallyHonkyTonky"
0,1,116,"Bass","Sassy-Vox Cat"
0,1,117,"Motion Synth","new silverware"
0,1,118,"Keyboard","Superclavitar"
0,1,119,"Ethnic/Trad.","Magic Koto"
0,1,120,"Complex","Salsa Ensemble"
0,1,121,"Synth","==Metropolis=="
0,1,122,"Breathy/Airy","{{Cyber-Visual}}"
0,1,123,"Organ","Full BX3"
0,1,124,"Pad & Lead","Once upon a time"
0,1,125,"Drums/Special FX","TheFinalFrontier"
0,1,126,"Synth","MIDI Harp"
0,1,127,"Bell & Mallet","Harmonium Soul"
0,2,0,"Orchestral","TrinitySoundRack"
0,2,1,"Bass Splits","Power{HIT}Split"
0,2,2,"Motion Synth","UndeWater*Parade"
0,2,3,"Keyboard","EAuditorium+MIDI"
0,2,4,"Guitar","Ice Guitar"
0,2,5,"Complex","Soft Galaxy"
0,2,6,"Horn Section","Brass & Sax"
0,2,7,"Keyboard","Airy Piano"
0,2,8,"Strings","Liquid String"
0,2,9,"Bass","Flanged DDL Bass"
0,2,10,"Breathy/Airy","Cloud Forest"
0,2,11,"Organ","R n' B Organ"
0,2,12,"Pad & Lead","Free Fall"
0,2,13,"Drums/Special FX","L/R WACKO Kit"
0,2,14,"Synth","MegaPower Pad"
0,2,15,"Bell & Mallet","Mystical Warrior"
0,2,16,"Orchestral","Exodus"
0,2,17,"Bass Splits","Deeep Bass & Pad"
0,2,18,"Motion Synth","Unicorn Forest"
0,2,19,"Keyboard","Sparkle PianoPad"
0,2,20,"Guitar","Da Phat Guitars"
0,2,21,"Complex","Asteroid Orbits"
0,2,22,"Horn Section","Brass Blasts"
0,2,23,"Ethnic/Trad.","Indian Forest"
0,2,24,"Keyboard","Ele.Grand@Church"
0,2,25,"Bass Splits","DelicateDynamics"
0,2,26,"Breathy/Airy","Antarctic Night"
0,2,27,"Keyboard","Clav Power"
0,2,28,"Pad & Lead","Sweep-in' left"
0,2,29,"Drums/Special FX","Atomic Rhythm"
0,2,30,"Synth","Tape Strings"
0,2,31,"Bell & Mallet","Grinchoid"
0,2,32,"Orchestral","Clustered Orch."
0,2,33,"Bass Splits","LR Hands Soloist"
0,2,34,"Motion Synth","Universal Spirit"
0,2,35,"Keyboard","Ballad PianoStak"
0,2,36,"Guitar","Cyberguitar"
0,2,37,"Complex","Tsunami Strikes!"
0,2,38,"Horn Section","Too Much Sax"
0,2,39,"Synth","Orgabass + SW2"
0,2,40,"Synth","} Millenium {"
0,2,41,"Bass Splits","Foggy Duty Solo"
0,2,42,"Breathy/Airy","Almost Awake..."
0,2,43,"Motion Synth","Bad Science"
0,2,44,"Pad & Lead","sololos padbaq"
0,2,45,"Drums/Special FX","TechnoHitz"
0,2,46,"Bass","Obesity Bass"
0,2,47,"Bell & Mallet","Bellish Stuff"
0,2,48,"Orchestral","Velocity Brass"
0,2,49,"Bass Splits","SuperSub Rap Baz"
0,2,50,"Motion Synth","Buenas Dias"
0,2,51,"Keyboard","Perfect*PianoPad"
0,2,52,"Breathy/Airy","Ricky's Delight"
0,2,53,"Complex","Minor StringStab"
0,2,54,"Horn Section","Saxify"
0,2,55,"Ethnic/Trad.","Shanghai Muzak"
0,2,56,"Synth","Technosynthorgan"
0,2,57,"Bass Splits","Bas D'Joure"
0,2,58,"Breathy/Airy","Flight From 2000"
0,2,59,"Synth","Serene Bell Pad"
0,2,60,"Motion Synth","Sunspots"
0,2,61,"Drums/Special FX","Trip-Hop Noizes"
0,2,62,"Synth","Rez-o-matic"
0,2,63,"Motion Synth","Bellmove"
0,2,64,"Orchestral","Japanese Scores"
0,2,65,"Bass Splits","Smooovvv Split"
0,2,66,"Motion Synth","SweeperPad"
0,2,67,"Keyboard","Dance <|> Piano"
0,2,68,"Guitar","Dream Guitar"
0,2,69,"Complex","Underwater Chasm"
0,2,70,"Horn Section","POWER Brass Ens."
0,2,71,"Bass Splits","Ac.Bass & Sax"
0,2,72,"Strings","Philly Strings"
0,2,73,"Bass","Hip Hop Dog Bass"
0,2,74,"Breathy/Airy","Heaven Smiles"
0,2,75,"Organ","Organ Pad"
0,2,76,"Pad & Lead","Falling"
0,2,77,"Drums/Special FX","Seance Spirits"
0,2,78,"Synth","[ Comet Fly-By ]"
0,2,79,"Bell & Mallet","Serengeti"
0,2,80,"Orchestral","Evan's Horn"
0,2,81,"Synth","Harp n' Stein"
0,2,82,"Motion Synth","Relaxation"
0,2,83,"Keyboard","Saloon Piano"
0,2,84,"Guitar","Jazz-mine"
0,2,85,"Complex","SoftArp&HardSolo"
0,2,86,"Keyboard","Clav Thang"
0,2,87,"Synth","Polyphonic Now!"
0,2,88,"Strings","East Meets West"
0,2,89,"Bass Splits","Wack Split"
0,2,90,"Breathy/Airy","Solar Bell Pad"
0,2,91,"Keyboard","Complex E.Piano"
0,2,92,"Motion Synth","Any Dynamic"
0,2,93,"Drums/Special FX","NCC-1701-A"
0,2,94,"Synth","The Thing"
0,2,95,"Bell & Mallet","Solar/Pluck Bell"
0,2,96,"Orchestral","Bell*Brass*Strng"
0,2,97,"Bass Splits","Waving Splitting"
0,2,98,"Synth","Pedal&Arpeggio"
0,2,99,"Keyboard","Piano+Strings"
0,2,100,"Guitar","Bag of Strings"
0,2,101,"Motion Synth","Pad of It's Own"
0,2,102,"Horn Section","Bonefied"
0,2,103,"Keyboard","Lite Swirling EP"
0,2,104,"Bass Splits","Splitting Pool"
0,2,105,"Bass Splits","R & B Split"
0,2,106,"Breathy/Airy","Solar Voices"
0,2,107,"Organ","OldDreamingOrgan"
0,2,108,"Synth","Funky Tool"
0,2,109,"Motion Synth","Sweet Digital"
0,2,110,"Keyboard","Stingy Passage"
0,2,111,"Bell & Mallet","Pop Tops"
0,2,112,"Orchestral","Lovely Nylon"
0,2,113,"Keyboard","Breathing ElPno"
0,2,114,"Motion Synth","Cloud Surfing"
0,2,115,"Synth","Jungle Bass"
0,2,116,"Guitar","Bellysh Guitar"
0,2,117,"Motion Synth","Passage to Pluto"
0,2,118,"Keyboard","Wired Synthicord"
0,2,119,"Keyboard","Bella Bella"
0,2,120,"Keyboard","SombreroSombra"
0,2,121,"Bass Splits","Grab Your Teeth!"
0,2,122,"Breathy/Airy","Holy, Holy, Holy"
0,2,123,"Keyboard","Piano In Blue"
0,2,124,"Synth","Quiet Resonances"
0,2,125,"Motion Synth","Nemo"
0,2,126,"Synth","Nocturnal Dreams"
0,2,127,"Bell & Mallet","Chorus Bell"
0,3,0,"Orchestral","Philharmonic"
0,3,1,"Bass Splits","Waffle Mallot"
0,3,2,"Motion Synth","Sub Mairner"
0,3,3,"Keyboard","Empty Auditorium"
0,3,4,"Guitar","String Shepard"
0,3,5,"Complex","Marvel Starship"
0,3,6,"Horn Section","Bad-Phat Brass"
0,3,7,"Keyboard","Spiritual Piano"
0,3,8,"Strings","SuperString Pad"
0,3,9,"Synth","*MIDI DDL Trap*"
0,3,10,"Breathy/Airy","Closest Cloud"
0,3,11,"Organ","Nicki's Funky"
0,3,12,"Pad & Lead","Sub Lime"
0,3,13,"Drums/Special FX","Hip Hop Hits"
0,3,14,"Synth","Buzzy SynthBrass"
0,3,15,"Bell & Mallet","MajesticMondoPad"
0,3,16,"Orchestral","Chamber Orchestr"
0,3,17,"Bass Splits","Phat Bass & PAD"
0,3,18,"Motion Synth","Earthglow"
0,3,19,"Keyboard","Pop Piano"
0,3,20,"Guitar","Suspander"
0,3,21,"Synth","Finito!"
0,3,22,"Horn Section","SparklingBrass"
0,3,23,"Ethnic/Trad.","Madrigal"
0,3,24,"Keyboard","Tronic Piano/Str"
0,3,25,"Bass Splits","Da Motown Rap"
0,3,26,"Breathy/Airy","A-irish DynaBoom"
0,3,27,"Keyboard","PowerBallad Clav"
0,3,28,"Keyboard","Chorus ElPiano"
0,3,29,"Drums/Special FX","CrazyHitz"
0,3,30,"Synth","Cluster Sample"
0,3,31,"Synth","OldsDon'tBreath"
0,3,32,"Orchestral","Lapponian Sleigh"
0,3,33,"Bass Splits","BigBottm/TripTop"
0,3,34,"Motion Synth","Roswell Lights"
0,3,35,"Keyboard","Princess Keys"
0,3,36,"Guitar","RudeGuitar Split"
0,3,37,"Complex","Lost Words"
0,3,38,"Horn Section","@-Saxination"
0,3,39,"Bass","Holy Phat!"
0,3,40,"Synth","[Nuclear Dawn]"
0,3,41,"Bass Splits","Face Split"
0,3,42,"Breathy/Airy","LunarLight"
0,3,43,"Synth","Mondo MIDI Synth"
0,3,44,"Keyboard","Heavenly ElPiano"
0,3,45,"Drums/Special FX","Dre Rap Effeks"
0,3,46,"Synth","Techno Bass/Syn"
0,3,47,"Bell & Mallet","*Mystical Bali*"
0,3,48,"Orchestral","Looney Tunes"
0,3,49,"Synth","Sneakin Up"
0,3,50,"Motion Synth","Wavestation Pad"
0,3,51,"Keyboard","Sweet Grand Pno"
0,3,52,"Bell & Mallet","Mango Mallet"
0,3,53,"Keyboard","Polaris"
0,3,54,"Synth","Compu-Neoclassic"
0,3,55,"Ethnic/Trad.","Cairo Connection"
0,3,56,"Strings","Smooth SynStrngs"
0,3,57,"Bass Splits","AdventureBs/Solo"
0,3,58,"Breathy/Airy","Ringworm"
0,3,59,"Synth","Ears Candy"
0,3,60,"Pad & Lead","Split The Thing"
0,3,61,"Drums/Special FX","Horrible Flight"
0,3,62,"Synth","Mosquito Boy"
0,3,63,"Motion Synth","Electric Eel"
0,3,64,"Motion Synth","Voxathon"
0,3,65,"Bass Splits","Cool Split  :-)"
0,3,66,"Motion Synth","UnderwaterGarden"
0,3,67,"Keyboard","Hammer All"
0,3,68,"Guitar","Nylon Clouds"
0,3,69,"Complex","Almost Asleep..."
0,3,70,"Horn Section","Brite Pop Brass"
0,3,71,"Bass Splits","Bass-n-Sax Split"
0,3,72,"Strings","Double Dip Strgs"
0,3,73,"Bass","Clean Bass Guitr"
0,3,74,"Breathy/Airy","Andes Mist"
0,3,75,"Organ","Annie Rose Goes"
0,3,76,"Pad & Lead","Alien Canyon"
0,3,77,"Drums/Special FX","#Splits4SciFi#"
0,3,78,"Synth","PercuPad"
0,3,79,"Bell & Mallet","Kalimba Simba"
0,3,80,"Keyboard","Dynamic'll SlapU"
0,3,81,"Bass Splits","Take Bass"
0,3,82,"Motion Synth","Swimmin Thru Air"
0,3,83,"Keyboard","Latin Piano"
0,3,84,"Guitar","Steel n' Fiddle"
0,3,85,"Complex","Fuga Diminuita"
0,3,86,"Keyboard","Rubber Clav"
0,3,87,"Synth","Pulse Power"
0,3,88,"Synth","GO GO GO Sync!"
0,3,89,"Bass Splits","ClassicM1Split"
0,3,90,"Breathy/Airy","Cumulonimbus"
0,3,91,"Keyboard","E.P. 3rd. Type"
0,3,92,"Motion Synth","The View"
0,3,93,"Drums/Special FX","Hawk's"
0,3,94,"Synth","Breathy Down"
0,3,95,"Synth","Green Eyed Bass"
0,3,96,"Motion Synth","Archer"
0,3,97,"Bass Splits","FreshFreshFresh"
0,3,98,"Synth","Story Teller"
0,3,99,"Keyboard","NewPiano&Strings"
0,3,100,"Guitar","12 of 12!"
0,3,101,"Complex","Play: C>G#>A#>F>"
0,3,102,"Horn Section","Symphony Brass"
0,3,103,"Keyboard","Bright ElPno+Str"
0,3,104,"Bass Splits","Sweet & Low"
0,3,105,"Bass Splits","Walk n' Talk"
0,3,106,"Breathy/Airy","Twilight Flight"
0,3,107,"Organ","Cyber Church"
0,3,108,"Synth","Dynaresaurus"
0,3,109,"Motion Synth","Kilimanjaro"
0,3,110,"Keyboard","Snap Piano"
0,3,111,"Bell & Mallet","Jamaican Rum-ba"
0,3,112,"Synth","Grungy Attack"
0,3,113,"Keyboard","Octav-E-PianoSW2"
0,3,114,"Motion Synth","Forever Waiting"
0,3,115,"Synth","Just Bass? Neee!"
0,3,116,"Guitar","Guitar Strings"
0,3,117,"Complex","Lost Knowledge"
0,3,118,"Keyboard","Poly-edric"
0,3,119,"Ethnic/Trad.","French Tines"
0,3,120,"Keyboard","Tines n' Bamboo"
0,3,121,"Bass Splits","Cool Cats"
0,3,122,"Breathy/Airy","Big Choir"
0,3,123,"Synth","Jacathon"
0,3,124,"Bass Splits","479 The Chord"
0,3,125,"Drums/Special FX","One Finger 4 SFX"
0,3,126,"Synth","FloatingCloudPad"
0,3,127,"Bell & Mallet","Breathing Bells"
